,Site,"Ar  conc.
(%)","N2 conc.
(%)","CO conc.
(%)","CH4 conc. 
(mmol)","CO2 cconc. 
(mmol)","C2H6 cconc. 
(mmol)","C3H8 cconc.
 (mmol)","He conc.
(%)","H2 conc.
(%)","O2 conc.
(%)"
2016/5/5,SH,,,,,,,,,,
,NS,,,,,,,,,,
2016/5/6,WD,,,,,,,,,,
,WD,,,,,,,,,,
2016/5/9,NH,0.90%,77.73%,0.00%,0.00%,0.27%,0.00%,0.00%,0.00%,0.00%,21.10%
,NH,0.86%,77.47%,0.00%,0.00%,0.28%,0.00%,0.00%,0.00%,0.00%,21.40%
2016/5/19,GPR,1.59%,91.96%,0.00%,0.00%,3.35%,0.00%,0.00%,0.00%,0.00%,3.11%
,GPR,,,,,,,,,,
,NS,1.05%,84.86%,0.00%,0.00%,9.17%,0.00%,0.00%,0.00%,0.00%,4.92%
,NS,1.27%,83.39%,0.00%,7.43%,6.66%,0.00%,0.00%,0.00%,0.00%,1.25%
,NS,,,,,,,,,,
2016/5/20,LIC,0.36%,81.55%,0.00%,0.00%,3.28%,0.00%,0.00%,0.00%,0.00%,14.81%
,LIC,,,,,,,,,,
,XUC,0.42%,83.53%,0.00%,0.00%,8.14%,0.00%,0.00%,0.00%,0.00%,7.92%
,XUC,,,,,,,,,,
2016/6/3,NS,1.01%,78.94%,0.00%,0.00%,8.35%,0.00%,0.00%,0.00%,0.00%,11.70%
,WD,0.94%,77.62%,0.00%,0.00%,6.21%,0.00%,0.00%,0.00%,0.00%,15.23%
2016/6/4,LIC,12.94%,71.69%,0.00%,0.00%,0.19%,0.00%,0.00%,0.00%,0.00%,15.18%
,LIC,,,,,,,,,,
,NS,1.16%,85.34%,0.00%,0.10%,0.32%,0.00%,0.00%,0.00%,0.00%,13.08%
,NS,,,,,,,,,,
2016/6/24,WD,0.98%,77.10%,0.00%,0.00%,0.86%,0.00%,0.00%,0.00%,0.00%,21.06%
,WD-2,0.96%,75.25%,0.00%,0.00%,4.82%,0.00%,0.00%,0.00%,0.00%,18.98%
,WD-E,1.04%,77.95%,0.00%,0.04%,0.03%,0.00%,0.00%,0.00%,0.00%,20.94%
2016/6/25,NS,0.97%,77.95%,0.00%,0.00%,7.78%,0.00%,0.00%,0.00%,0.00%,13.29%
2016/7/13,WD,,,,,,,,,,
,WD,0.60%,64.49%,0.00%,33.64%,0.41%,0.00%,0.00%,0.00%,0.00%,0.86%
,WD-2,,,,,,,,,,
,NS,,,,,,,,,,
,NS,0.00%,98.15%,0.00%,0.03%,0.19%,0.00%,0.00%,0.00%,0.00%,1.62%
2016/7/26,NS,,,,,,,,,,
,NS,0.87%,96.09%,0.00%,0.03%,0.27%,0.00%,0.00%,0.00%,0.00%,2.74%
2016/7/27,WD,,,,,,,,,,
,WD,0.68%,68.84%,0.00%,29.89%,0.49%,0.00%,0.00%,0.00%,0.00%,0.11%
,WD-2,,,,,,,,,,
2016/8/10,NS,,,,,,,,,,
,NS,,,,,,,,,,
2016/8/11,WD,,,,,,,,,,
,WD,,,,,,,,,,
,WD-2,,,,,,,,,,
2016/8/25,NS,,,,,,,,,,
,NS,,,,,,,,,,
2016/8/26,WD,,,,,,,,,,
,WD,,,,,,,,,,
,WD-2,,,,,,,,,,
2016/9/10,NS,,,,,,,,,,
,WD,,,,,,,,,,
2016/9/11,WD,,,,,,,,,,
,WD-2,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
